"","Date","Experiment.Week","Location","Plant.Number","Pair","Size","Start.Time","End.Time","Avg.open.flowers.per.inflorescence","Total.inflorescenses","Honeybees"
"2","5/17/2017",1,"Pair 1 Large",1,"1","Large","11:08","11:23",67.2,82,13
"14","5/23/2017",2,"Pair 1 Large",1,"1","Large","11:20","11:35",34.2,59,42
"26","5/25/2017",2,"Pair 1 Large",1,"1","Large","10:45","11:00",42.2,59,5
"38","5/30/2017",3,"Pair 1 Large",1,"1","Large","10:33","10:48",30.8,54,39
"50","6/2/2017",3,"Pair 1 Large",1,"1","Large","10:44","10:59",19.4,58,37
"1","5/17/2017",1,"Pair 1 Small",1,"1","Small","11:32","11:47",45.8,33,1
"13","5/23/2017",2,"Pair 1 Small",1,"1","Small","10:50","11.05",29.6,27,34
"25","5/25/2017",2,"Pair 1 Small",1,"1","Small","10:29","10:44",16.4,16,0
"37","5/30/2017",3,"Pair 1 Small",1,"1","Small","10:12","10:27",12.2,16,10
"49","6/2/2017",3,"Pair 1 Small",1,"1","Small","11:05","11:20",5.2,15,0
"4","5/17/2017",1,"Pair 2 Large",1,"2","Large","11:39","11:49",57,19,5
"16","5/23/2017",2,"Pair 2 Large",1,"2","Large","","",30,23,28
"28","5/25/2017",2,"Pair 2 Large",1,"2","Large","10:55","11:10",36,23,1
"40","5/30/2017",3,"Pair 2 Large",1,"2","Large","10:33","10:48",46.8,32,48
"52","6/2/2017",3,"Pair 2 Large",1,"2","Large","10:19","10:34",35,23,56
"3","5/17/2017",1,"Pair 2 Small",1,"2","Small","11:17","11:27",54,10,0
"15","5/23/2017",2,"Pair 2 Small",1,"2","Small","","",23,8,4
"27","5/25/2017",2,"Pair 2 Small",1,"2","Small","10:33","10:48",25,9,0
"39","5/30/2017",3,"Pair 2 Small",1,"2","Small","10:12","10:27",40.2,8,12
"51","6/2/2017",3,"Pair 2 Small",1,"2","Small","10:01","10:16",33,7,14
"6","5/17/2017",1,"Pair 3 Large",1,"3","Large","11:36","11:51",63,33,4
"18","5/23/2017",2,"Pair 3 Large",1,"3","Large","11:06","11:21",78,44,18
"30","5/25/2017",2,"Pair 3 Large",1,"3","Large","10:57","11:12",65.6,45,2
"42","5/30/2017",3,"Pair 3 Large",1,"3","Large","10:10","10:25",44,42,36
"54","6/2/2017",3,"Pair 3 Large",1,"3","Large","10:33","10:48",60.8,38,17
"5","5/17/2017",1,"Pair 3 Small",1,"3","Small","10:59","11:14",33.6,11,0
"17","5/23/2017",2,"Pair 3 Small",1,"3","Small","10:39","11:54",28,9,3
"29","5/25/2017",2,"Pair 3 Small",1,"3","Small","10:33","10:48",21.8,9,0
"41","5/30/2017",3,"Pair 3 Small",1,"3","Small","10:45","11:00",19.8,5,2
"53","6/2/2017",3,"Pair 3 Small",1,"3","Small","10:49","11:04",7.8,5,0
"8","5/17/2017",1,"Pair 4 Large",1,"4","Large","12:30","12:45",53,40,1
"20","5/23/2017",2,"Pair 4 Large",2,"4","Large","12:01","12:16",45,40,51
"32","5/25/2017",2,"Pair 4 Large",2,"4","Large","11:21","11:36",74,38,3
"44","5/30/2017",3,"Pair 4 Large",2,"4","Large","11:34","11:49",62.8,23,53
"56","6/2/2017",3,"Pair 4 Large",2,"4","Large","11:24","11:39",66,22,44
"7","5/17/2017",1,"Pair 4 Small",1,"4","Small","12:03","12:18",14.25,4,0
"19","5/23/2017",2,"Pair 4 Small",1,"4","Small","11:35","11:50",50,8,25
"31","5/25/2017",2,"Pair 4 Small",1,"4","Small","11:44","11:59",56.6,9,5
"43","5/30/2017",3,"Pair 4 Small",2,"4","Small","11:09","11:24",36.4,8,27
"55","6/2/2017",3,"Pair 4 Small",2,"4","Small","11:08","11:23",29.8,10,15
"10","5/17/2017",1,"Pair 5 Large",1,"5","Large","11:55","12:10",38,40,2
"22","5/23/2017",2,"Pair 5 Large",2,"5","Large","10:57","11:12",24.2,50,7
"34","5/25/2017",2,"Pair 5 Large",2,"5","Large","10:55","11:10",26.6,45,4
"46","5/30/2017",3,"Pair 5 Large",2,"5","Large","11:04","11:19",22,14,38
"58","6/2/2017",3,"Pair 5 Large",2,"5","Large","11:01","11:17",36,25,40
"9","5/17/2017",1,"Pair 5 Small",1,"5","Small","12:14","12:29",20.4,5,0
"21","5/23/2017",2,"Pair 5 Small",1,"5","Small","10:34","10:49",37,8,16
"33","5/25/2017",2,"Pair 5 Small",1,"5","Small","10:33","10:48",32,7,2
"45","5/30/2017",3,"Pair 5 Small",1,"5","Small","11:28","11:43",13,7,9
"57","6/2/2017",3,"Pair 5 Small",1,"5","Small","11:19","11:35",9.8,7,1
"12","5/17/2017",1,"Pair 6 Large",1,"6","Large","10:55","11:10",106.33,74,8
"24","5/23/2017",2,"Pair 6 Large",2,"6","Large","11:21","11:36",40.2,15,27
"36","5/25/2017",2,"Pair 6 Large",2,"6","Large","11:15","11:30",48.4,15,4
"48","5/30/2017",3,"Pair 6 Large",2,"6","Large","10:06","10:21",30,14,45
"60","6/2/2017",3,"Pair 6 Large",2,"6","Large","10:11","10:26",30,12,19
"11","5/17/2017",1,"Pair 6 Small",1,"6","Small","11:28","11:43",30,9,2
"23","5/23/2017",2,"Pair 6 Small",2,"6","Small","11:46","12:01",30.4,11,39
"35","5/25/2017",2,"Pair 6 Small",2,"6","Small","11:38","11:53",38,10,5
"47","5/30/2017",3,"Pair 6 Small",2,"6","Small","10:30","10:45",23,10,9
"59","6/2/2017",3,"Pair 6 Small",2,"6","Small","10:40","10:56",34,16,18
